dic_term_eng,dic_term_kor,dic_explain
halothane,할로탄,할로겐화 흡입마취약의 하나로 휘발성 전신마취약
hematocrit,적혈구용적율,전체 혈액 중에서 적혈구가 차지하는 부피를 말하는데 주로 적혈구의 양을 계산하는 지표로 많이 쓰임
hemianopia,반맹,응시하고 있는 점을 경계로 하여 한 눈 또는 두 눈의 시야의 오른쪽 반 또는 왼쪽 반이 안 보이는 상태
homeostasis,항상성,생물체가 끊임없이 외적 및 내적 환경의 변화를 받으면서도 개체로서의 생리적 상태를 안정된 상태로 유지하는 기능
hypertrophy,비대,장기 조직을 구성하고 있는 세포가 원래의 구조는 유지하면서 수적 변동없이 그 용적만 커진 상태
idiosyncrasy,특이체질,유전적 요인에 의하여 약물고유의 작용이 비정상적으로 강하게 또는 약하게 나타나는 현상
incubus,악몽,"불길하고 무서운 꿈으로, 스트레스-불안-우울-죄책감 등과 관련이 있으며, 외상을 입은 뒤에 나타나는 스트레스 장애의 주요 증상"
ischemia,허혈,국소 빈혈이 심하여 해당 부위에 육안적으로 혈액이 있음을 거의 인정할 수 없는 상태
jaundice,황달,혈액 중에 빌리루빈 양이 증가하여 피부 및 점막내 담즙의 축적으로 황색을 나타내는 병적상태
jejunum,빈창장,"작은창자는 샘창자, 빈창자, 돌창자의 3부분으로 구성되어 있는데, 이것의 가운데 부분을 빈창자라 하며, 음식물의 소화, 흡수에 관여함"
jugular vein,목정맥,머리와 얼굴의 혈액을 모아 심장으로 보내는 목에 있는 정맥
keloid,켈로이드,"창상, 수술창, 화상, 염증 등에 의한 피부 흉터에 결합조직이 증식하여 불규칙적인 단단한 섬유종이 융기되는 것"
keratosis,각화증,피부 표피의 최상층에 있는 각질층이 증식-변화하여 까칠까칠해지거나 굳어지는 피부병
ketoacidosis,케톤산증,"체내에 아세트산, 아세톤과 같은 케톤체가 그 대사이상에 의해서 과잉으로 생성되어 축적되는 현상"
lactation,수유,"유아에게 모유 또는 우유를 먹이는 일로, 수유의 개시는 출생 후 10시간 전후이며, 신생아가 깊은 잠에서 깨어났을 때 주기 시작함"
lactose,젖당,포도당 1몰과 갈락토오스 1몰로 이루어지는 이당류의 하나
leiomyoma,평활근종,"평활근의 이상비대로 인해 생긴 양성종양으로, 주로 평활근이 존재하는 곳에 생기는데, 자궁, 위창자관, 피부 등에 호발함"
leprosy,나병,"나균에 의하여 감염되는 만성 전염성 난치병으로, 피부에 살점이 불거져 나오거나 반점 같은 것이 생기고 그 부분의 지각이 마비되며 눈썹이 빠지고 손발이나 얼굴이 변형되면 눈이 잘 보이지 안게 됨"
malabsorption,흡수장애,"장관에서 영양소가 혈액으로 잘 흡수되지 않는 현상으로, 작은 창자에서 영양소가 일부 또는 전부 흡수되지 않아 생기는 병"
malaria,말라리아,말라리아 원충을 가진 학질모기에게 물려서 감염되는 법정 전염병
meningioma,수막종,"뇌나 척수를 에워싸고 있는 수막에서 발생하며, 30세 이상이 사람이 많이 걸리는 병으로, 대개 양성이며 성장이 느림"
negativism,거부증,"비슷한 상황하에서 대부분의사람이 행할 것으로 생각되는 것과 반대로 행동하고, 또는 하라는 것이나 정상적으로 하고 싶은 것과 반대로 행동하는 병적 경향"
niacin,니아신,"니코틴 산을 말하며, 비타민의 일종으로 인체 내 소량 존재하지만, 생명유지에 필수적인 요소"
notochord,척삭,모든 척삭 동물 몸의 일차 긴뼈축을 형성하는 것으로 신경관 밑에서 발달하는 배아기 뒤쪽 표면을 따라 확장하고 1차 결절에서 발생하는 중배엽 조직의 긴띠
obesity,비만증,신체에 지방이 과잉으로 출적되어 골격상 및 육체상 요구의 한계 이상으로 체중이 증가된 상태
omphalitis,배꼽염,"배꼽의 염증으로, 탯줄이 탈락하고 나면 여러 병원균에 감염되기 쉽고, 염증을 일으킬 수 있는데 이 염증이 주위에 파급되어 배꼽이나 그 주위의 피부가 발갛게 붓고 분비물이 나오는 상태"
osmosis,삼투,일정 크기 이하의 물질은 통과시키고 그 이상의 크기를 가진 물질은 통과 시키지 못하게 하는 막(반투막)을 사이에 두고 양쪽에 그 막을 투과하지 못하는 물질의 농도가 차이가 날 때 발생하는 것으로 막을 통과할 수 있는 물질이 막 양쪽의 통과 할 수 없는 물질의 농도를 같게 하는 방향으로 움직이는 것
ovary,난소,여성의 성기관으로 수정에 필요한 난자를 생성
parkinsonism,파킨슨증,"파킨슨병과는 다른 것으로, 뇌혈관성이나 약물성 등의 증후군(이차성)과 파킨슨병, 즉 무동, 근육강직, 떨림 등의 임상증상을 동반한 중추신경변성 병"
pathogenesis,발병기전,"병적 상태의 발전, 특히 병이 발전하는 과정 중에 일어나는 현상과 반응 및 기타 병리학적 진행과정"
permeability,투과성,어떤 물질계나 구조에 액체나 기체 등의 확산이 있는 경우에 그 구조가 확산성 물질분자의 통과나 침입을 허용하는 성질
polyuria,다뇨증,오줌 배설량이 이상하게 많은 증세
quadriplegia,사지마비,상하지 모두에 마비가 일어나는 상태
rabies,광견병,보통 미친개에게 물림으로써 감염되는 특징적이고 심한 뇌염을 일으키는 바이러스 감염병
radiology,방사선과학,의료에 사용할 수 있는 각종 방사선을 이용하여 질병의 진단 및 치료와 그 질병의 병태생리 또는 생화학적 연구를 하는 학문
Raynaud disease,레이노병,기능적 혈관 경련을 일으키는 병으로 건강한 젊은 여성의 팔다리 작은 동맥을 침범
receptor,수용체,세포질내 또는 세포표면에 존재하는 분자구조로서 특이물질과 선택적으로 결합하며 결합에 의해 특이한 생리적 작용을 나타냄
salmonellosis,살모넬라증,살모넬라균 속의 세균에 의하여 일어나는 질병
sepsis,패혈증,혈액이나 다른 조직내에 병을 일으킬 수 있는 균이나 균이 분비한 독성물질이 존재하는 상태
sputum,가래,기침이나 숨길을 깨끗하게 하기 위한 운동으로 입을 통해 나오는 분비물
talipes,휜발,"남자에서 호발하며 오른쪽 발에 호발하는 앞발부의 모음(forefoot adduction), 뒷발부의 안쪽돌림(hindfoot varus), 발목관절의 말발꿈치(ankle equinus)를 특징으로 하는 선천기형 등"
tetanus,파상풍,"파상풍균이 일으키는 급성전염병으로, 상처를 통하여 감염하며, 몸소에서 증식한 파상풍균의 독소가 중추신경, 특히 척수를 침범함으로써 일어남"
tingling,저림,"한랭 또는 신경에 대한 충격에 의하거나, 또는 중추 말초신경계의 여러 가지 질병의 결과로서 생긴 얼얼한 감각"
ulcer,궤양,"염증성 괴사성조직(죽은 조직)의 탈락에 의해 기관이나, 조직의 표면이 국소적 결손 또는 함몰되는 것"
uremia,요독증,콩팥의 기능 장애로 몸 안의 노폐물이 오줌으로 빠져 나오지 못하고 피 속에 들어가 중독을 일으키는 병증
urine,오줌,콩팥을 통해 생성되어 요관을 통해 운반되고 방광에 저류되었다가 요도를 통해 체외로 배출되는 액체
uveitis,포도막염,"홍채, 섬모체, 맥락막의 3배로 이루어지며, 혈관에 풍부한 조직이기 때문에 염증이 많이 나타남"
vaccinia,우두,마마 백신의 접종으로 나타나는 피부 반응 또는 원칙적으로 소의 발진성바이러스병
vaginismus,질경련,"질의 국소적 감각과민의 결과 일어나는 통증성 경련으로, 발생부위가 질 입구부, 구해면 체근 또는 항문올림근에 있느냐에 의해서 얇은 부 및 깊은 부 질경련으로 구별"
varicocele,정계정맥류,"정상의 덩굴정맥얻기의 정맥류로서 음낭의 피부아래서 청색으로 보이는 벌레 주머니모양의 종창을 일으키고, 음낭내에서 연속적인 견인통이나 둔통을 수반함"
variola,두창,마마라고도 불림. 마마바이러스(poxvirus)에 의해 일어나는 급성법정 전염병
wart,사마귀,볼록하게 피부의 융기된 양성종양
withdrawal syndrome,금단증후근,"알코올, 마약, 바비투르산계 최면약 등의 약물을 장기간 복용하여 약물이 없이는 견딜 수 없게된 뒤, 그 약물을 중지한 경우에 나타나는, 고통이 수반되는 신체적 증상"
wound infection,상처감염,"절손 등의 기계적 상해, 인위적 부상 또는 타균의 침입에 의해 상처난 조직에서 침입하여 감염시키는 것"
xanthoma,황색종,"황색의 편평한 반이나 약간 융기된 반으로 나타난 황색종을 편평 황색종으로 통칭하며, 발생부위에 따라 황색판종 등으로 구분됨"
xerophthalmia,눈마름증,"눈의 건조해지는 현상으로, 결막의 술잔세포의 점액분비 기능이 비정상적이기 때문에 결막과 각막이 심하게 건조된 상태"
yersiniosis,예르시니아증,"Yersinia enterocolitica에 의한 사람의 감염병으로서 설사, 창자염, 거짓꼬리염, 돌창자염, 결절홍반, 때에 따라서는 패혈증 또는 급성관절염으로 나타남"
zoonosis,인수공통감염증,인수전염병라고도 불림. 척추동물과 사람 사이에 자연히 이생하는 질병 또는 감염
zymolysis,발효,"효모나 세균 따위의 미생물이 유기 화합물을 분해하여 알코올류, 유시산류, 탄산가스 따위를 생기게 하는 작용"
